ID,Link,Name,Brand,DiscountedPrice,DiscountedPercent,SoldQuantity,BatteryCapacity,FrontCamera,BackCamera,GPU,ChargingPort,RAM,Resolution,ROM,ScreenSize,WarrantyDuration,Rating,NumberOfReview,Description
334932,https://www.thegioididong.com/dtdd/samsung-galaxy-a56,Điện thoại Samsung Galaxy A56 5G 12GB/256GB,Samsung,11390000.0,-5%,"• Đã bán 1,1k",5000 mAh,12 MP,"Chính 50 MP & Phụ 12 MP, 5 MP",AMD Ariel 2WGP-1RB 1.3 GHz,Type-C,12 GB,Full HD+ (1080 x 2340 Pixels),256 GB,6.7,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,5,4 đánh giá,"Samsung Galaxy A56 là chiếc điện thoại hiện đại với thiết kế đẹp, bền bỉ và hiệu năng mạnh mẽ. Máy sở hữu camera sắc nét, pin lâu, cùng nhiều tính năng thông minh, giúp bạn làm việc, giải trí và kết nối dễ dàng. Đây là lựa chọn lý tưởng cho những ai cần một chiếc smartphone linh hoạt, đáp ứng tốt mọi nhu cầu hàng ngày."
332934,https://www.thegioididong.com/dtdd/oppo-reno13-5g,Điện thoại OPPO Reno13 5G 12GB/256GB,OPPO,14990000.0,-6%,"• Đã bán 1,3k",5600 mAh,50 MP,"Chính 50 MP & Phụ 8 MP, 2 MP",Mali-G615,Type-C,12 GB,1.5K (1256 x 2760 Pixles),256 GB,6.59,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,5,13 đánh giá,NaN
335234,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb,Điện thoại Samsung Galaxy A06 5G 6GB/128GB,Samsung,4490000.0,NaN,"• Đã bán 1,9k",5000 mAh,8 MP,Chính 50 MP & Phụ 2 MP,Mali-G57,Type-C,6 GB,HD+ (720 x 1600 Pixels),128 GB,6.7,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,5,1 đánh giá,"Samsung Galaxy A06 5G 6GB/128GB là một sản phẩm nổi bật trong phân khúc phổ thông, kết hợp tốc độ kết nối 5G ấn tượng với hiệu năng mượt mà, màn hình chất lượng cao và thời lượng pin ấn tượng. Đây là sự lựa chọn hoàn hảo cho người dùng muốn khám phá công nghệ tiên tiến với mức giá phải chăng."
336743,https://www.thegioididong.com/dtdd/tcl-605-4-128gb,Điện thoại TCL 605 4GB/128GB,TCL,2390000.0,-4%,"• Đã bán 1,9k",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN
330619,https://www.thegioididong.com/dtdd/realme-13-plus-5g,Điện thoại realme 13+ 5G 12GB/256GB,realme,9990000.0,NaN,"• Đã bán 10,5k",5000 mAh,16 MP,"Chính 50 MP & Phụ 2 MP, Flicker",Mali-G615,Type-C,12 GB,Full HD+ (1080 x 2400 Pixels),256 GB,6.67,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,5,4 đánh giá,"realme 13+ 5G mang trong mình sức mạnh hiệu năng đỉnh cao, thiết kế tinh tế và những công nghệ hàng đầu. Với chip Dimensity 7300 Energy 5G, màn hình OLED 120 Hz, RAM siêu lớn lên đến 26 GB và sạc nhanh 80W, đây là chiếc điện thoại không chỉ phục vụ mọi nhu cầu của bạn mà còn mang đến trải nghiệm vượt ngoài mong đợi."
327190,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb,Điện thoại OPPO Reno12 F 5G 12GB/256GB,OPPO,7990000.0,-20%,"• Đã bán 10,6k",5000 mAh,32 MP,"Chính 50 MP & Phụ 8 MP, 2 MP",Mali-G57 MC2,Type-C,12 GB,Full HD+ (1080 x 2400 Pixels),256 GB,6.67,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,44 đánh giá,"OPPO Reno12 F 12GB là chiếc smartphone hiện đại, mang đến sự kết hợp hoàn hảo giữa thiết kế thanh lịch và hiệu năng mạnh mẽ. Với các tính năng tiên tiến và công nghệ sạc nhanh, Reno12 F hứa hẹn mang lại trải nghiệm tuyệt vời cho người dùng trong mọi hoạt động hằng ngày."
336409,https://www.thegioididong.com/dtdd/masstel-s9,Điện thoại Masstel S9 6GB/256GB,Masstel,2890000.0,-3%,"• Đã bán 10,7k",5000 mAh,8 MP,"Chính 50 MP & Phụ 2 MP, CIF",Mali-G57,Type-C,6 GB,HD+ (720 x 1600 Pixels),256 GB,6.67,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,3 đánh giá,NaN
305658,https://www.thegioididong.com/dtdd/iphone-15-pro-max,Điện thoại iPhone 15 Pro Max 256GB,iPhone (Apple),29990000.0,-3%,"• Đã bán 10,8k",4422 mAh,12 MP,"Chính 48 MP & Phụ 12 MP, 12 MP",Apple GPU 6 nhân,Type-C,8 GB,Super Retina XDR (1290 x 2796 Pixels),256 GB,6.7,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,264 đánh giá,NaN
335228,https://www.thegioididong.com/dtdd/vivo-y04,Điện thoại vivo Y04 4GB/128GB,vivo,3490000.0,NaN,"• Đã bán 10,9k",5500 mAh,5 MP,Chính 13 MP & Phụ 0.08 MP,Mali-G52,Type-C,4 GB,HD+ (720 x 1600 Pixels),128 GB,6.74,Hư gì đổi nấy 12 tháng tại 2957 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết,4.9,NaN,"vivo Y04 không chỉ gây ấn tượng với viên pin 5500 mAh mạnh mẽ, mà còn được thiết kế để bền bỉ theo thời gian. Với độ bền đạt chuẩn quân đội cùng khả năng kháng bụi và nước IP64, mẫu smartphone này sẵn sàng đồng hành cùng bạn trong mọi điều kiện sử dụng, từ công việc hàng ngày đến những chuyến đi xa."
335917,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-3gb-64gb,Điện thoại Xiaomi Redmi A5 3GB/64GB,Xiaomi,2590000.0,-7%,"• Đã bán 109,7k",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN
334938,https://www.thegioididong.com/dtdd/oppo-find-n5,Điện thoại OPPO Find N5 5G 16GB/512GB,OPPO,44990000.0,NaN,"• Đã bán 11,1k",5600 mAh,8 MP,"Chính 50 MP & Phụ 50 MP, 8 MP",Adreno 830,Type-C,16 GB,Chính: QXGA+ (2248 x 2480 Pixels) & Phụ: FHD+ (1140x 2616 Pixels),512 GB,Chính 8.12,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,2 đánh giá,"OPPO Find N5 nổi bật với thiết kế gập siêu mỏng, chỉ 8.93 mm khi gập và 4.21 mm khi mở, cùng màn hình lớn 8.12 inch. Máy trang bị chip Snapdragon 8 Elite, viên pin 5600 mAh mỏng nhất thế giới, bản lề hợp kim titan bền bỉ và khả năng kháng nước IPX6, IPX8, IPX9. Đặc biệt, đây là điện thoại gập đầu tiên kết nối liền mạch với MacOS, mang đến trải nghiệm mạnh mẽ và linh hoạt."
336702,https://www.thegioididong.com/dtdd/vivo-v50-lite,Điện thoại vivo V50 Lite 8GB/256GB,vivo,8990000.0,NaN,• Đã bán 118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN
329138,https://www.thegioididong.com/dtdd/iphone-16-plus,Điện thoại iPhone 16 Plus 128GB,iPhone (Apple),22190000.0,-14%,"• Đã bán 12,4k",NaN,12 MP,Chính 48 MP & Phụ 12 MP,Apple GPU 5 nhân,Type-C,8 GB,Super Retina XDR (1290 x 2796 Pixels),128 GB,6.7,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,4 đánh giá,NaN
329785,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe-8gb-256gb,Điện thoại Samsung Galaxy S24 FE 5G 8GB/256GB,Samsung,13890000.0,-24%,"• Đã bán 12,7k",4700 mAh,10 MP,"Chính 50 MP & Phụ 12 MP, 8 MP",Xclipse 940,Type-C,8 GB,Full HD+ (1080 x 2340 Pixels),256 GB,6.7,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,8 đánh giá,"Samsung Galaxy S24 FE 256GB mang đến sự nâng cấp vượt trội về hiệu suất và trải nghiệm người dùng. Với vi xử lý Exynos 2400e, máy không chỉ hoạt động mạnh mẽ mà còn tối ưu tốt cho các ứng dụng AI. Bên cạnh đó, màn hình rộng và camera chất lượng cao là những điểm nổi bật khiến Galaxy S24 FE trở nên hấp dẫn."
322670,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g-8-256,Điện thoại Samsung Galaxy A55 5G 8GB/256GB,Samsung,8690000.0,-20%,"• Đã bán 12,8k",5000 mAh,32 MP,"Chính 50 MP & Phụ 12 MP, 5 MP",AMD Titan 1WGP,Type-C,8 GB,Full HD+ (1080 x 2340 Pixels),256 GB,6.6,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,75 đánh giá,"Samsung Galaxy A55 5G (8GB/256GB) một thành viên mới nhất trong dòng sản phẩm A series, hứa hẹn mang đến nhiều tính năng tiên tiến cùng với kết nối 5G tốc độ cao. Sản phẩm được trình làng với mục tiêu cung cấp một chiếc điện thoại thông minh cao cấp, đa chức năng nhưng với mức giá phải chăng."
328625,https://www.thegioididong.com/dtdd/realme-c65s-8gb-128gb,Điện thoại realme C65s 8GB/128GB,realme,4790000.0,NaN,"• Đã bán 124,5k",5000 mAh,8 MP,Chính 50 MP & Cảm biến Flicker,Mali-G57,Type-C,8 GB,HD+ (720 x 1600 Pixels),128 GB,6.745,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,10 đánh giá,"realme C65s 8GB/128GB là sự lựa chọn lý tưởng với hiệu năng mạnh mẽ, thiết kế hiện đại và pin lâu. Màn hình rộng, camera rõ nét và pin 5000 mAh hỗ trợ sạc nhanh 45W giúp người dùng thoải mái sử dụng, mang lại trải nghiệm mượt mà và tiện lợi."
329133,https://www.thegioididong.com/dtdd/honor-200-12gb-256gb,Điện thoại HONOR 200 5G 12GB/256GB,HONOR,11490000.0,-11%,"• Đã bán 127,7k",5200 mAh,50 MP,"Chính 50 MP & Phụ 50 MP, 12 MP",Adreno 720,Type-C,12 GB,1.5K (1200 x 2664 Pixels),256 GB,6.7,Bảo hành chính hãng điện thoại 18 tháng tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,5 đánh giá,"HONOR 200 5G 12GB/256GB là lựa chọn lý tưởng cho những ai yêu thích chụp ảnh với độ sắc nét ấn tượng và nhiều chế độ lung linh. Máy có màn hình sống động kết hợp cùng khả năng chụp ảnh chuyên nghiệp, đảm bảo mọi khoảnh khắc đều được ghi lại hoàn hảo."
328454,https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb,Điện thoại OPPO A3 8GB/128GB,OPPO,5290000.0,NaN,"• Đã bán 13,9k",5100 mAh,5 MP,Chính 50 MP & Cảm biến Flicker,Adreno 610,Type-C,8 GB,HD+ (720 x 1604 Pixels),128 GB,6.67,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,24 đánh giá,"OPPO A3 8GB/128GB mang đến một trải nghiệm sử dụng mượt mà và an toàn. Thiết kế bền bỉ theo tiêu chuẩn quân sự và khả năng kháng nước IP54 cho phép thiết bị vượt qua mọi thử thách, từ những buổi dã ngoại đến những cơn mưa bất chợt."
330028,https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2,Điện thoại Viettel Sumo 4G T2,Viettel,550000.0,NaN,"• Đã bán 130,2k",1400 mAh,NaN,0.08 MP,NaN,Type-C,48 MB,QVGA (240 x 320 Pixels),128 MB,2.4,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,10 đánh giá,"Viettel Sumo 4G T2 là một chiếc điện thoại phổ thông được thiết kế để đáp ứng nhu cầu liên lạc cốt lõi trong kỷ nguyên số. Tập trung vào nghe gọi, nhắn tin và các tiện ích cơ bản, điểm nhấn quan trọng nhất của sản phẩm này là khả năng kết nối mạng 4G tốc độ cao."
326016,https://www.thegioididong.com/dtdd/vivo-y28,Điện thoại vivo Y28 8GB/128GB,vivo,5790000.0,NaN,"• Đã bán 14,1k",6000 mAh,8 MP,Chính 50 MP & Phụ 2 MP,Mali-G52,Type-C,8 GB,HD+ (720 x 1608 Pixels),128 GB,6.68,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,27 đánh giá,"Mang một thiết kế hiện đại, thời thượng, hệ thống camera sắc nét, viên pin khủng 6000 mAh, hiệu năng ổn định lâu dài,... vivo Y28 8GB/128GB sẽ là lựa chọn hàng đầu cho các nhu cầu sử dụng, giải trí cơ bản của người dùng."
329135,https://www.thegioididong.com/dtdd/iphone-16,Điện thoại iPhone 16 128GB,iPhone (Apple),19090000.0,-16%,"• Đã bán 14,5k",22 giờ,12 MP,Chính 48 MP & Phụ 12 MP,Apple GPU 5 nhân,Type-C,8 GB,Super Retina XDR (1179 x 2556 Pixels),128 GB,6.1,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,13 đánh giá,NaN
320336,https://www.thegioididong.com/dtdd/xiaomi-15,Điện thoại Xiaomi 15 5G 12GB/512GB,Xiaomi,24990000.0,-7%,• Đã bán 140,5240 mAh,32 MP,3 camera 50 MP,Adreno 830,Type-C,12 GB,1.5K (1200 x 2670 Pixels),512 GB,6.36,Bảo hành chính hãng điện thoại 2 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,5,2 đánh giá,"Xiaomi 15 512GB mang đến một bước tiến lớn về chất lượng, hiệu năng và camera, khẳng định vị thế trong phân khúc flagship. Với những cải tiến đáng chú ý về vật liệu, màn hình và công nghệ AI, sản phẩm này hứa hẹn đáp ứng tốt đa dạng nhu cầu của người dùng từ công việc đến giải trí."
334323,https://www.thegioididong.com/dtdd/oppo-a5-pro,Điện thoại OPPO A5 Pro 8GB/256GB,OPPO,6990000.0,NaN,"• Đã bán 141,5k",5800 mAh,8 MP,Chính 50 MP & Phụ 2 MP,Adreno 610,Type-C,8 GB,HD+ (720 x 1604 Pixels),256 GB,6.67,"Bộ sản phẩm gồm: Ốp lưng, Sách hướng dẫn, Hộp, Cáp Type C, Củ sạc nhanh Type C, Cây lấy sim",4.9,13 đánh giá,"OPPO A5 Pro mang đến trải nghiệm mượt mà với màn hình 90 Hz, hiệu năng vượt trội nhờ Snapdragon và hệ thống camera sắc nét cho từng chi tiết. Cùng với pin 5800 mAh bền bỉ, chiếc điện thoại này sẽ giúp bạn hoàn thành mọi tác vụ và giải trí một cách dễ dàng, không lo gián đoạn."
320730,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro,Điện thoại Xiaomi Redmi Note 14 Pro 8GB/256GB,Xiaomi,7990000.0,NaN,• Đã bán 143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN
323563,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g,Điện thoại Samsung Galaxy M35 5G 8GB/256GB,Samsung,8790000.0,NaN,"• Đã bán 15,1k",6000 mAh,13 MP,"Chính 50 MP & Phụ 8 MP, 2 MP",Mali-G68 MP5,Type-C,8 GB,Full HD+ (1080 x 2340 Pixels),256 GB,6.6,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,55 đánh giá,"Samsung Galaxy M35 5G đem đến những công nghệ tiên tiến như màn hình Super AMOLED, dung lượng pin “khủng” 6000 mAh và vi xử lý Exynos 1380 8 nhân được sản xuất trên quy trình 5 nm tân tiến, giúp máy đáp ứng tốt những tác vụ ngày càng đa dạng và khắt khe của người dùng."
331200,https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb,Điện thoại vivo Y19s 6GB/128GB,vivo,4290000.0,NaN,"• Đã bán 15,2k",5500 mAh,5 MP,Chính 50 MP & Phụ 0.08 MP,Mali-G57,Type-C,6 GB,HD+ (720 x 1608 Pixels),128 GB,6.68,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,8 đánh giá,"vivo Y19s 6GB/128GB là lựa chọn hoàn hảo cho những ai tìm kiếm một smartphone mạnh mẽ, thiết kế thu hút và viên pin bền bỉ. Sản phẩm không chỉ đáp ứng tốt nhu cầu sử dụng hàng ngày mà còn có khả năng chống va đập hiệu quả, mang đến sự yên tâm và bảo vệ cho người dùng."
223602,https://www.thegioididong.com/dtdd/iphone-13,Điện thoại iPhone 13 128GB,iPhone (Apple),11690000.0,-22%,"• Đã bán 15,3k",3240 mAh,12 MP,2 camera 12 MP,Apple GPU 4 nhân,Lightning,4 GB,Super Retina XDR (1170 x 2532 Pixels),128 GB,6.1,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,645 đánh giá,"Trong khi sức hút đến từ bộ 4 phiên bản iPhone 12 vẫn chưa nguội đi, thì hãng điện thoại Apple đã mang đến cho người dùng một siêu phẩm mới iPhone 13 series với nhiều cải tiến thú vị sẽ mang lại những trải nghiệm hấp dẫn nhất cho người dùng."
333363,https://www.thegioididong.com/dtdd/samsung-galaxy-s25,Điện thoại Samsung Galaxy S25 5G 12GB/256GB,Samsung,19690000.0,-14%,"• Đã bán 15,3k",4000 mAh,12 MP,"Chính 50 MP & Phụ 12 MP, 10 MP",Adreno 830,Type-C,12 GB,Full HD+ (1080 x 2340 Pixels),256 GB,6.2,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,8 đánh giá,"Trong sự kiện Unpacked 2025, Samsung giới thiệu Samsung Galaxy S25 - một bước đột phá với thiết kế hiện đại, camera vượt trội và hiệu suất mạnh mẽ. Được trang bị chip Snapdragon 8 Elite For Galaxy tích hợp AI, máy mang đến khả năng tối ưu hóa hiệu năng vượt bậc, đáp ứng mọi nhu cầu của người dùng, đồng thời thể hiện đẳng cấp trong từng chi tiết."
335307,https://www.thegioididong.com/dtdd/realme-c75x,Điện thoại realme C75x 8GB/128GB,realme,5290000.0,NaN,"• Đã bán 15,4k",5600 mAh,5 MP,Chính 50 MP & Cảm biến Flicker,Mali-G52,Type-C,8 GB,HD+ (720 x 1604 Pixels),128 GB,6.67,Hư gì đổi nấy 12 tháng tại 2957 siêu thị toàn quốc (miễn phí tháng đầu) Xem chi tiết,4.9,1 đánh giá,"Trong bối cảnh thị trường ngày càng cạnh tranh, realme tiếp tục khẳng định vị thế với realme C75x - một sản phẩm sở hữu thiết kế bắt mắt, độ bền cao, hiệu năng mạnh mẽ và thời lượng pin ấn tượng, hứa hẹn trở thành lựa chọn đáng giá trong phân khúc giá tốt, đáp ứng nhu cầu ngày càng cao của người dùng hiện đại."
332938,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-pro-5g,Điện thoại Xiaomi Redmi Note 14 Pro 5G 8GB/256GB,Xiaomi,9490000.0,NaN,"• Đã bán 164,4k",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN,NaN
329149,https://www.thegioididong.com/dtdd/iphone-16-pro-max,Điện thoại iPhone 16 Pro Max 256GB,iPhone (Apple),30590000.0,-12%,"• Đã bán 18,4k",33 giờ,12 MP,"Chính 48 MP & Phụ 48 MP, 12 MP",Apple GPU 6 nhân,Type-C,8 GB,Super Retina XDR (1320 x 2868 Pixels),256 GB,6.9,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,129 đánh giá,NaN
328306,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb,Điện thoại OPPO Reno12 F 8GB/256GB,OPPO,8490000.0,NaN,"• Đã bán 18,6k",5000 mAh,32 MP,"Chính 50 MP & Phụ 8 MP, 2 MP",Adreno 610,Type-C,8 GB,Full HD+ (1080 x 2400 Pixels),256 GB,6.67,Bảo hành chính hãng điện thoại 1 năm tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,15 đánh giá,"OPPO Reno12 F 4G kết hợp hài hòa giữa công nghệ hiện đại và thiết kế tinh tế. Màn hình AMOLED cùng với AI thông minh tạo nên một tổng thể hoàn hảo, đáp ứng mọi nhu cầu của người dùng. Dung lượng pin lớn đảm bảo bạn luôn kết nối với thế giới xung quanh."
320734,https://www.thegioididong.com/dtdd/xiaomi-redmi-a3,Điện thoại Xiaomi Redmi A3 3GB/64GB,Xiaomi,2490000.0,NaN,"• Đã bán 181,5k",5000 mAh,5 MP,Chính 8 MP & Phụ 0.08 MP,IMG PowerVR GE8320,Type-C,3 GB,HD+ (720 x 1650 Pixels),64 GB,6.71,Bảo hành chính hãng điện thoại 18 tháng tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,35 đánh giá,"Xiaomi Redmi A3 là một sản phẩm giá rẻ vừa được Xiaomi ra mắt trong dịp đầu năm 2024, máy nổi trội nhờ có mức giá tốt nhưng lại sở hữu một vài điểm nổi bật. Đặc biệt, máy tích hợp viên pin 5000 mAh, có màn hình lớn 6.71 inch và có thêm tần số quét 90 Hz."
334969,https://www.thegioididong.com/dtdd/tecno-spark-30,Điện thoại Tecno Spark 30 8GB/128GB,Tecno,3590000.0,-7%,• Đã bán 196,5000 mAh,13 MP,Chính 64 MP & Phụ 2 MP,NaN,Type-C,NaN,Full HD+ (1080 x 2460 Pixels),NaN,6.78,Bảo hành chính hãng điện thoại 13 tháng tại các trung tâm bảo hành hãng Xem địa chỉ bảo hành,4.9,2 đánh giá,NaN
